Vg,Vd,Id
0.56,0.07,1.2992e-05
0.57,0.07,1.31985e-05
0.58,0.07,1.33959e-05
0.59,0.07,1.35848e-05
0.6,0.07,1.37655e-05
0.61,0.07,1.39384e-05
0.62,0.07,1.41039e-05
0.63,0.07,1.42624e-05
0.64,0.07,1.44142e-05
0.65,0.07,1.45595e-05
0.66,0.07,1.46988e-05
0.67,0.07,1.48324e-05
0.68,0.07,1.49604e-05
0.69,0.07,1.50831e-05
0.7,0.07,1.52009e-05
0.71,0.07,1.5314e-05
0.72,0.07,1.54225e-05
0.73,0.07,1.55267e-05
0.74,0.07,1.56268e-05
0.75,0.07,1.5723e-05
0.76,0.07,1.58154e-05
0.77,0.07,1.59043e-05
0.78,0.07,1.59898e-05
0.79,0.07,1.6072e-05
0.8,0.07,1.61511e-05
0.01,0.08,2.73362e-10
0.02,0.08,3.98681e-10
0.03,0.08,5.81436e-10
0.04,0.08,8.47934e-10
0.05,0.08,1.2365e-09
0.06,0.08,1.803e-09
0.07,0.08,2.6288e-09
0.08,0.08,3.8322e-09
0.09,0.08,5.5851e-09
0.1,0.08,8.137e-09
0.11,0.08,1.18489e-08
0.12,0.08,1.72417e-08
0.13,0.08,2.50628e-08
0.14,0.08,3.63771e-08
0.15,0.08,5.26864e-08
0.16,0.08,7.60775e-08
0.17,0.08,1.09392e-07
0.18,0.08,1.56389e-07
0.19,0.08,2.21859e-07
0.2,0.08,3.11598e-07
0.21,0.08,4.3217e-07
0.22,0.08,5.90403e-07
0.23,0.08,7.92632e-07
0.24,0.08,1.0438e-06
0.25,0.08,1.3469e-06
0.26,0.08,1.7021e-06
0.27,0.08,2.1069e-06
0.28,0.08,2.5564e-06
0.29,0.08,3.0436e-06
0.3,0.08,3.5606e-06
0.31,0.08,4.099e-06
0.32,0.08,4.6506e-06
0.33,0.08,5.2085e-06
0.34,0.08,5.7665e-06
0.35,0.08,6.3198e-06
0.36,0.08,6.8647e-06
0.37,0.08,7.3984e-06
0.38,0.08,7.9187e-06
0.39,0.08,8.4243e-06
0.4,0.08,8.9142e-06
0.41,0.08,9.3878e-06
0.42,0.08,9.8446e-06
0.43,0.08,1.02847e-05
0.44,0.08,1.0708e-05
0.45,0.08,1.11146e-05
0.46,0.08,1.1505e-05
0.47,0.08,1.18793e-05
0.48,0.08,1.22381e-05
0.49,0.08,1.25818e-05
0.5,0.08,1.29108e-05
0.51,0.08,1.32258e-05
0.52,0.08,1.35272e-05
0.53,0.08,1.38156e-05
0.54,0.08,1.40914e-05
0.55,0.08,1.43553e-05
0.56,0.08,1.46077e-05
0.57,0.08,1.48492e-05
0.58,0.08,1.50802e-05
0.59,0.08,1.53013e-05
0.6,0.08,1.55128e-05
0.61,0.08,1.57153e-05
0.62,0.08,1.59092e-05
0.63,0.08,1.60948e-05
0.64,0.08,1.62726e-05
0.65,0.08,1.6443e-05
0.66,0.08,1.66062e-05
0.67,0.08,1.67627e-05
0.68,0.08,1.69127e-05
0.69,0.08,1.70566e-05
0.7,0.08,1.71947e-05
0.71,0.08,1.73271e-05
0.72,0.08,1.74543e-05
0.73,0.08,1.75764e-05
0.74,0.08,1.76937e-05
0.75,0.08,1.78064e-05
0.76,0.08,1.79147e-05
0.77,0.08,1.80187e-05
0.78,0.08,1.81188e-05
0.79,0.08,1.82151e-05
0.8,0.08,1.83077e-05
0.01,0.09,2.80644e-10
0.02,0.09,4.09266e-10
0.03,0.09,5.96822e-10
0.04,0.09,8.70298e-10
0.05,0.09,1.269e-09
0.06,0.09,1.8503e-09
0.07,0.09,2.6975e-09
0.08,0.09,3.9319e-09
0.09,0.09,5.73e-09
0.1,0.09,8.3475e-09
0.11,0.09,1.21547e-08
0.12,0.09,1.76856e-08
0.13,0.09,2.57068e-08
0.14,0.09,3.73107e-08
0.15,0.09,5.40384e-08
0.16,0.09,7.80324e-08
0.17,0.09,1.12213e-07
0.18,0.09,1.60448e-07
0.19,0.09,2.27678e-07
0.2,0.09,3.19901e-07
0.21,0.09,4.43949e-07
0.22,0.09,6.06994e-07
