Vg,Vd,Id
0.46,0.04,4.6516e-06
0.47,0.04,4.8856e-06
0.48,0.04,5.1124e-06
0.49,0.04,5.3319e-06
0.5,0.04,5.5442e-06
0.51,0.04,5.7494e-06
0.52,0.04,5.9476e-06
0.53,0.04,6.1389e-06
0.54,0.04,6.3235e-06
0.55,0.04,6.5015e-06
0.56,0.04,6.6731e-06
0.57,0.04,6.8385e-06
0.58,0.04,6.9979e-06
0.59,0.04,7.1513e-06
0.6,0.04,7.2992e-06
0.61,0.04,7.4415e-06
0.62,0.04,7.5786e-06
0.63,0.04,7.7106e-06
0.64,0.04,7.8377e-06
0.65,0.04,7.9601e-06
0.66,0.04,8.078e-06
0.67,0.04,8.1916e-06
0.68,0.04,8.3011e-06
0.69,0.04,8.4066e-06
0.7,0.04,8.5083e-06
0.71,0.04,8.6064e-06
0.72,0.04,8.701e-06
0.73,0.04,8.7923e-06
0.74,0.04,8.8805e-06
0.75,0.04,8.9656e-06
0.76,0.04,9.0478e-06
0.77,0.04,9.1272e-06
0.78,0.04,9.204e-06
0.79,0.04,9.2782e-06
0.8,0.04,9.35e-06
0.01,0.05,1.02327e-10
0.02,0.05,1.41267e-10
0.03,0.05,1.95025e-10
0.04,0.05,2.69235e-10
0.05,0.05,3.71679e-10
0.06,0.05,5.13093e-10
0.07,0.05,7.08289e-10
0.08,0.05,9.77707e-10
0.09,0.05,1.3495e-09
0.1,0.05,1.8626e-09
0.11,0.05,2.5705e-09
0.12,0.05,3.547e-09
0.13,0.05,4.8934e-09
0.14,0.05,6.749e-09
0.15,0.05,9.305e-09
0.16,0.05,1.28224e-08
0.17,0.05,1.76571e-08
0.18,0.05,2.42917e-08
0.19,0.05,3.3376e-08
0.2,0.05,4.57774e-08
0.21,0.05,6.26394e-08
0.22,0.05,8.54446e-08
0.23,0.05,1.16074e-07
0.24,0.05,1.56845e-07
0.25,0.05,2.10509e-07
0.26,0.05,2.80173e-07
0.27,0.05,3.69137e-07
0.28,0.05,4.80631e-07
0.29,0.05,6.17479e-07
0.3,0.05,7.81759e-07
0.31,0.05,9.74518e-07
0.32,0.05,1.1956e-06
0.33,0.05,1.4437e-06
0.34,0.05,1.7162e-06
0.35,0.05,2.0101e-06
0.36,0.05,2.3213e-06
0.37,0.05,2.6457e-06
0.38,0.05,2.9794e-06
0.39,0.05,3.3184e-06
0.4,0.05,3.6593e-06
0.41,0.05,3.9991e-06
0.42,0.05,4.3355e-06
0.43,0.05,4.6666e-06
0.44,0.05,4.9908e-06
0.45,0.05,5.3073e-06
0.46,0.05,5.6154e-06
0.47,0.05,5.9146e-06
0.48,0.05,6.2048e-06
0.49,0.05,6.4857e-06
0.5,0.05,6.7576e-06
0.51,0.05,7.0203e-06
0.52,0.05,7.2741e-06
0.53,0.05,7.5191e-06
0.54,0.05,7.7555e-06
0.55,0.05,7.9835e-06
0.56,0.05,8.2032e-06
0.57,0.05,8.4149e-06
0.58,0.05,8.6189e-06
0.59,0.05,8.8154e-06
0.6,0.05,9.0045e-06
0.61,0.05,9.1867e-06
0.62,0.05,9.362e-06
0.63,0.05,9.5309e-06
0.64,0.05,9.6934e-06
0.65,0.05,9.8499e-06
0.66,0.05,1.00007e-05
0.67,0.05,1.01459e-05
0.68,0.05,1.02858e-05
0.69,0.05,1.04206e-05
0.7,0.05,1.05505e-05
0.71,0.05,1.06758e-05
0.72,0.05,1.07966e-05
0.73,0.05,1.09131e-05
0.74,0.05,1.10256e-05
0.75,0.05,1.11342e-05
0.76,0.05,1.12391e-05
0.77,0.05,1.13404e-05
0.78,0.05,1.14383e-05
0.79,0.05,1.15329e-05
0.8,0.05,1.16244e-05
0.01,0.06,1.08522e-10
0.02,0.06,1.49778e-10
0.03,0.06,2.06714e-10
0.04,0.06,2.85293e-10
0.05,0.06,3.93735e-10
0.06,0.06,5.43386e-10
0.07,0.06,7.49896e-10
0.08,0.06,1.0348e-09
0.09,0.06,1.428e-09
0.1,0.06,1.9704e-09
0.11,0.06,2.7185e-09
0.12,0.06,3.7501e-09
0.13,0.06,5.1723e-09
0.14,0.06,7.1319e-09
0.15,0.06,9.8304e-09
0.16,0.06,1.35433e-08
0.17,0.06,1.86458e-08
0.18,0.06,2.56472e-08
0.19,0.06,3.52333e-08
0.2,0.06,4.83204e-08
0.21,0.06,6.61179e-08
0.22,0.06,9.01968e-08
0.23,0.06,1.22556e-07
0.24,0.06,1.65668e-07
0.25,0.06,2.22488e-07
0.26,0.06,2.96386e-07
0.27,0.06,3.90996e-07
0.28,0.06,5.09964e-07
0.29,0.06,6.56621e-07
0.3,0.06,8.33637e-07
0.31,0.06,1.0427e-06
0.32,0.06,1.2844e-06
0.33,0.06,1.558e-06
0.34,0.06,1.8616e-06
0.35,0.06,2.1923e-06
0.36,0.06,2.5464e-06
0.37,0.06,2.9196e-06
0.38,0.06,3.3074e-06
0.39,0.06,3.7052e-06
0.4,0.06,4.1089e-06
0.41,0.06,4.5146e-06
0.42,0.06,4.9189e-06
0.43,0.06,5.3191e-06
0.44,0.06,5.713e-06
0.45,0.06,6.099e-06
0.46,0.06,6.4758e-06
0.47,0.06,6.8426e-06
0.48,0.06,7.1989e-06
0.49,0.06,7.5444e-06
0.5,0.06,7.8789e-06
0.51,0.06,8.2025e-06
0.52,0.06,8.5151e-06
0.53,0.06,8.817e-06
0.54,0.06,9.1083e-06
0.55,0.06,9.3892e-06
0.56,0.06,9.6599e-06
0.57,0.06,9.9208e-06
0.58,0.06,1.01721e-05
0.59,0.06,1.04141e-05
0.6,0.06,1.06471e-05
0.61,0.06,1.08714e-05
0.62,0.06,1.10873e-05
0.63,0.06,1.12951e-05
0.64,0.06,1.14951e-05
0.65,0.06,1.16877e-05
0.66,0.06,1.18731e-05
0.67,0.06,1.20516e-05
0.68,0.06,1.22236e-05
0.69,0.06,1.23892e-05
0.7,0.06,1.25489e-05
0.71,0.06,1.27027e-05
0.72,0.06,1.28511e-05
0.73,0.06,1.29942e-05
0.74,0.06,1.31322e-05
0.75,0.06,1.32655e-05
0.76,0.06,1.33941e-05
0.77,0.06,1.35183e-05
0.78,0.06,1.36384e-05
0.79,0.06,1.37544e-05
0.8,0.06,1.38665e-05
0.01,0.07,1.13702e-10
0.02,0.07,1.56876e-10
