Vg,Vd,Id_actual,Id_predicted
0.48,0.31,2.46358e-05,2.4701943984837272e-05
0.69,0.37,4.8891e-05,4.891951975878328e-05
0.38,0.64,1.4021e-05,1.4107673196122051e-05
0.59,0.68,4.30982e-05,4.329818184487522e-05
0.11,0.66,2.10167e-08,2.0935581588332752e-08
0.27,0.02,8.89082e-07,8.815071487333625e-07
0.65,0.17,3.04163e-05,3.0442962015513333e-05
0.17,0.34,1.45412e-07,1.459612951748568e-07
0.14,0.2,4.31142e-08,4.280855421257002e-08
0.48,0.38,2.55337e-05,2.5544978416291998e-05
0.35,0.26,9.1698e-06,9.236758560291491e-06
0.73,0.12,2.52012e-05,2.4987710639834403e-05
0.79,0.35,5.48483e-05,5.517100362339988e-05
0.24,0.75,1.689e-06,1.6887103129192838e-06
0.75,0.57,6.08105e-05,6.052268261555582e-05
0.05,0.48,1.949e-09,1.953527046794079e-09
0.09,0.46,8.484e-09,8.41273923413155e-09
0.42,0.48,1.84426e-05,1.8456772668287158e-05
0.8,0.65,6.70951e-05,6.718833574268502e-05
0.49,0.34,2.63099e-05,2.6349542604293675e-05
0.65,0.13,2.48864e-05,2.482419789885171e-05
0.78,0.27,4.75311e-05,4.770268395077438e-05
0.09,0.32,7.4854e-09,7.469853926522774e-09
0.17,0.06,1.01331e-07,1.0210995696979807e-07
0.35,0.46,9.9336e-06,9.922007629938889e-06
0.4,0.59,1.63551e-05,1.6428282087872503e-05
0.56,0.39,3.57753e-05,3.571987086615991e-05
0.05,0.08,1.2365e-09,1.233691904189982e-09
0.79,0.06,1.38813e-05,1.3665204460266977e-05
0.18,0.59,2.48172e-07,2.4720921345533495e-07
0.04,0.16,9.7179e-10,9.729694028237645e-10
0.03,0.25,7.3765e-10,7.395511425478674e-10
0.63,0.02,4.2743e-06,4.331203526817262e-06
0.7,0.33,4.76011e-05,4.780275601660833e-05
0.5,0.39,2.82197e-05,2.8214844860485755e-05
0.4,0.24,1.43631e-05,1.4453897019848227e-05
0.39,0.67,1.5377e-05,1.5479593075724553e-05
0.46,0.08,1.1505e-05,1.136274659074843e-05
0.75,0.15,3.07729e-05,3.052043030038476e-05
0.17,0.33,1.44265e-07,1.4476147043751554e-07
0.25,0.2,1.6055e-06,1.6081065041362308e-06
0.49,0.57,2.83829e-05,2.8502918976300858e-05
0.29,0.73,4.7681e-06,4.7779027136130024e-06
0.18,0.07,1.51305e-07,1.5295907815016108e-07
0.23,0.34,1.033e-06,1.0336844661651413e-06
0.44,0.21,1.81447e-05,1.8144507921533657e-05
0.41,0.49,1.72077e-05,1.7223333452420773e-05
0.13,0.37,3.46564e-08,3.487743128971488e-08
0.22,0.35,7.76042e-07,7.776359893796325e-07
0.02,0.1,4.18209e-10,4.1751757606789397e-10
0.38,0.61,1.39185e-05,1.3990728821227094e-05
0.66,0.13,2.51839e-05,2.511432598112151e-05
0.52,0.29,2.88714e-05,2.893750446673948e-05
0.16,0.17,8.73207e-08,8.577091534789361e-08
0.11,0.47,1.79796e-08,1.786282172844267e-08
0.28,0.19,3.1061e-06,3.1315111118601634e-06
0.65,0.7,5.12894e-05,5.1488748431438575e-05
0.74,0.18,3.50889e-05,3.496806108159944e-05
0.07,0.51,4.2145e-09,4.220022731260542e-09
0.02,0.32,5.44856e-10,5.440597306005657e-10
0.29,0.65,4.6337e-06,4.64685288079636e-06
0.23,0.17,9.13304e-07,9.152091706710054e-07
0.29,0.02,1.1869e-06,1.1954805086134001e-06
0.72,0.17,3.30148e-05,3.2923501566983763e-05
0.37,0.72,1.30525e-05,1.3140840019332245e-05
0.53,0.55,3.37668e-05,3.3874915607157165e-05
0.04,0.39,1.2336e-09,1.2281117123258412e-09
0.06,0.29,2.3669e-09,2.3639777335660025e-09
0.52,0.12,1.8579e-05,1.841661287471652e-05
0.17,0.05,9.53532e-08,9.587531621946256e-08
0.47,0.76,2.66006e-05,2.6624724123394118e-05
0.74,0.29,4.73652e-05,4.764822369907051e-05
0.76,0.51,6.02117e-05,5.9861594490939754e-05
0.21,0.25,5.3035e-07,5.268101403999026e-07
0.53,0.69,3.47656e-05,3.491031478915829e-05
0.09,0.3,7.3475e-09,7.343969699036279e-09
0.43,0.47,1.96871e-05,1.9699681579368186e-05
0.76,0.72,6.44092e-05,6.470115738920867e-05
0.47,0.38,2.42474e-05,2.4262172810267658e-05
0.05,0.1,1.2964e-09,1.2918639491488193e-09
0.46,0.1,1.36023e-05,1.3404109631665051e-05
0.47,0.04,6.4882e-06,6.520015886053443e-06
0.02,0.66,7.5504e-10,7.492223574878665e-10
0.18,0.51,2.34653e-07,2.3380871169820239e-07
0.68,0.04,8.7845e-06,8.810517028905451e-06
0.44,0.73,2.22627e-05,2.235381762147881e-05
0.3,0.32,4.8045e-06,4.797777510248125e-06
0.36,0.71,1.18232e-05,1.1905095980182522e-05
0.74,0.45,5.64978e-05,5.6268449407070874e-05
0.73,0.32,4.90623e-05,4.933309741318226e-05
0.34,0.73,9.5944e-06,9.651214986661216e-06
0.18,0.64,2.56848e-07,2.562760892033111e-07
0.51,0.28,2.7494e-05,2.7560324233490978e-05
0.39,0.62,1.51986e-05,1.5282659624062945e-05
0.58,0.68,4.17192e-05,4.1913279856089505e-05
0.59,0.25,3.3997e-05,3.414130333112553e-05
0.72,0.01,2.2933e-06,2.316530444659293e-06
0.62,0.44,4.39449e-05,4.3763631547335533e-05
0.72,0.09,1.94304e-05,1.9276484817964955e-05
0.22,0.06,5.42309e-07,5.481073276314419e-07
0.61,0.13,2.35638e-05,2.3502898256992923e-05
0.44,0.23,1.86035e-05,1.864921439846512e-05
0.23,0.22,9.51867e-07,9.474672515352722e-07
0.14,0.34,4.88712e-08,4.929081541149572e-08
0.18,0.1,1.63798e-07,1.64164021043689e-07
0.38,0.49,1.34843e-05,1.348939913441427e-05
0.3,0.24,4.6071e-06,4.630041948985308e-06
0.37,0.29,1.14409e-05,1.150501258962322e-05
0.17,0.49,1.62962e-07,1.624042312187157e-07
0.4,0.44,1.57153e-05,1.571197892189957e-05
0.17,0.75,1.96014e-07,1.9597931810722002e-07
0.17,0.77,1.98729e-07,1.9865886201841932e-07
0.27,0.22,2.5875e-06,2.594536908873124e-06
0.8,0.41,5.9175e-05,5.9371482930146154e-05
0.11,0.16,1.35037e-08,1.3434861330097193e-08
0.49,0.19,2.21317e-05,2.205749937274959e-05
0.56,0.14,2.27329e-05,2.2637459333054723e-05
0.53,0.49,3.32343e-05,3.3248207764700054e-05
0.8,0.3,5.13305e-05,5.158684652997181e-05
0.19,0.43,3.12388e-07,3.127811902459143e-07
0.63,0.36,4.28451e-05,4.283822810975835e-05
0.42,0.72,1.94933e-05,1.959720393642783e-05
0.19,0.13,2.43346e-07,2.4243293751169403e-07
0.19,0.49,3.25743e-07,3.2514147619622235e-07
0.52,0.57,3.25429e-05,3.267766576755093e-05
0.57,0.19,2.82032e-05,2.8229169111000374e-05
0.02,0.69,7.762e-10,7.696854420480292e-10
0.43,0.56,2.01447e-05,2.0216465636622163e-05
0.37,0.59,1.26395e-05,1.2693980570475104e-05
0.29,0.71,4.7346e-06,4.747647790281917e-06
0.25,0.05,1.1247e-06,1.1099178664153443e-06
0.47,0.32,2.35661e-05,2.3629004135727883e-05
0.75,0.19,3.68191e-05,3.670205303933471e-05
0.32,0.12,5.4546e-06,5.428439180832356e-06
0.02,0.14,4.45917e-10,4.4887206840371625e-10
0.48,0.01,1.7404e-06,1.7908461450133474e-06
0.01,0.72,5.51396e-10,5.570626759876518e-10
0.12,0.74,3.23105e-08,3.210601505543309e-08
0.71,0.17,3.26873e-05,3.2623859442537655e-05
0.44,0.06,8.4911e-06,8.43121320940554e-06
0.03,0.68,1.1134e-09,1.1049424131215347e-09
0.22,0.14,6.57987e-07,6.625190872000531e-07
0.12,0.19,2.02785e-08,2.0232652957474785e-08
0.14,0.51,5.60967e-08,5.5871497082193854e-08
0.75,0.36,5.30054e-05,5.321073636878282e-05
0.46,0.43,2.33675e-05,2.337117854040116e-05
0.17,0.52,1.66583e-07,1.658246708302613e-07
0.25,0.44,1.8546e-06,1.853918092820095e-06
0.74,0.75,6.26581e-05,6.289294469752349e-05
0.47,0.46,2.49135e-05,2.492599465767853e-05
0.25,0.72,2.1251e-06,2.1263141570670997e-06
0.68,0.33,4.60406e-05,4.6207497362047434e-05
0.16,0.14,8.44602e-08,8.306962399728946e-08
0.49,0.11,1.60681e-05,1.5877413970883937e-05
0.01,0.67,5.26311e-10,5.309481165838293e-10
0.63,0.48,4.59069e-05,4.57091024145484e-05
0.15,0.17,6.05162e-08,5.956484017133335e-08
0.09,0.77,1.10109e-08,1.0971031896289674e-08
0.19,0.32,2.8832e-07,2.8868644221802245e-07
0.42,0.4,1.80034e-05,1.8009578343480826e-05
0.55,0.75,3.79918e-05,3.7992416764609516e-05
0.05,0.58,2.1343e-09,2.15306163564577e-09
